counties,none_care,first_trimester,second_trimester,third_trimester,unknown_care,year,male,female,unknown_gender,singleton,twins,other_multiples,unknown_plural,white_non_hispanic,african_american_non_hispanic,other_non_hispanic,hispanic,gms_0_499,gms_500_1499,gms_1500_2499,gms_2500_8165,unknown_weight,pop
ROCKINGHAM,9,730,166,31,1,2016,481,456,0,909,28,0,0,650,185,10,92,2,19,77,839,0,91308
ROWAN,41,1028,474,106,1,2016,825,825,0,1598,52,0,0,1102,298,32,218,1,34,133,1482,0,139410
RUTHERFORD,11,466,142,20,20,2016,325,334,0,631,28,0,0,529,74,9,47,4,12,51,591,1,66286
SAMPSON,11,560,188,63,9,2016,419,412,0,799,32,0,0,333,198,36,264,2,11,67,750,1,63225
SCOTLAND,10,327,99,18,1,2016,211,244,0,439,16,0,0,152,211,85,7,2,8,42,403,0,35309
STANLY,8,502,153,26,1,2016,357,333,0,668,22,0,0,517,98,30,45,1,16,58,615,0,60826
STOKES,5,299,61,13,2,2016,192,188,0,369,8,3,0,339,12,3,26,2,4,26,348,0,45920
SURRY,10,546,123,39,5,2016,349,374,0,711,12,0,0,537,40,7,139,4,6,40,673,0,72008
SWAIN,5,123,23,16,2,2016,88,81,0,165,4,0,0,80,1,75,13,0,2,18,149,0,14190
TRANSYLVANIA,6,221,27,3,6,2016,126,137,0,255,8,0,0,233,11,4,15,1,3,22,237,0,33393
TYRRELL,0,36,13,1,1,2016,30,21,0,51,0,0,0,29,10,0,12,0,0,1,50,0,4024
UNION,21,1644,600,139,12,2016,1259,1157,0,2337,74,5,0,1593,311,71,441,2,30,153,2231,0,226279
VANCE,44,294,136,48,8,2016,276,254,0,508,22,0,0,168,288,11,63,3,9,57,460,1,44485
WAKE,172,8601,3370,800,76,2016,6760,6259,0,12466,535,18,0,6886,2786,1328,2019,35,148,852,11980,4,1048335
WARREN,9,122,37,8,1,2016,79,98,0,169,8,0,0,48,106,9,14,1,2,22,152,0,19884
WASHINGTON,0,97,22,7,0,2016,54,72,0,116,10,0,0,37,81,0,8,3,0,16,107,0,12070
WATAUGA,6,296,53,10,2,2016,192,175,0,355,12,0,0,330,5,7,25,0,1,28,338,0,54140
WAYNE,28,1106,390,105,7,2016,829,807,0,1590,46,0,0,801,485,35,315,2,30,102,1502,0,124269
WILKES,10,508,139,33,1,2016,369,322,0,667,24,0,0,587,20,8,76,0,15,61,615,0,68581
WILSON,19,666,239,36,4,2016,500,464,0,926,38,0,0,380,379,26,179,2,17,93,851,1,81307
YADKIN,5,272,98,17,0,2016,188,204,0,377,12,3,0,306,5,5,76,0,7,24,361,0,37653
YANCEY,0,139,13,2,0,2016,78,76,0,152,2,0,0,141,1,0,12,0,2,11,141,0,17610
ALAMANCE,36,1336,438,103,26,2017,986,953,0,1872,67,0,0,1028,437,53,421,3,27,131,1777,1,163276
ALEXANDER,7,295,57,17,1,2017,187,190,0,365,12,0,0,326,17,9,25,1,3,28,345,0,37143
ALLEGHANY,2,80,16,3,1,2017,53,49,0,98,4,0,0,82,1,0,19,0,3,6,93,0,10988
ANSON,8,161,60,24,3,2017,139,117,0,242,14,0,0,102,141,3,10,1,6,31,218,0,24829
ASHE,2,165,36,12,1,2017,100,116,0,210,6,0,0,187,3,3,23,2,2,17,194,1,26787
AVERY,2,88,13,5,1,2017,45,64,0,105,4,0,0,98,0,2,9,0,0,11,98,0,17517
BEAUFORT,1,339,106,20,4,2017,237,233,0,443,27,0,0,257,150,3,60,3,7,48,412,0,47033
BERTIE,1,132,31,6,1,2017,91,80,0,165,6,0,0,49,117,1,4,2,3,18,148,0,19263
BLADEN,9,183,106,25,2,2017,170,155,0,316,9,0,0,155,109,16,45,1,6,28,290,0,33443
